Params,hMin,hMax,hAvg,tAvg
it:50|a:2|b:2|af:0.4|er:0.9,3143.24,3415.91,3293.80,1215
it:50|a:2|b:2|af:0.4|er:0.7,3097.40,3362.17,3265.34,1271
it:50|a:2|b:2|af:0.4|er:0.5,3179.79,3372.66,3279.69,1220
it:50|a:2|b:2|af:0.5|er:0.9,3155.17,3336.84,3233.30,1478
it:50|a:2|b:2|af:0.5|er:0.7,3151.32,3370.12,3233.66,1457
it:50|a:2|b:2|af:0.5|er:0.5,3113.63,3340.56,3229.51,1459
it:50|a:2|b:2.1|af:0.4|er:0.9,3146.02,3341.71,3241.44,1404
it:50|a:2|b:2.1|af:0.4|er:0.7,3141.25,3414.46,3256.61,1400
it:50|a:2|b:2.1|af:0.4|er:0.5,3110.51,3364.38,3245.07,1415
it:50|a:2|b:2.1|af:0.5|er:0.9,3132.22,3331.00,3239.98,1778
it:50|a:2|b:2.1|af:0.5|er:0.7,3089.33,3328.44,3239.90,1726
it:50|a:2|b:2.1|af:0.5|er:0.5,3065.81,3317.48,3207.33,1728
it:50|a:2.1|b:2|af:0.4|er:0.9,3111.51,3426.99,3264.06,1402
it:50|a:2.1|b:2|af:0.4|er:0.7,3190.62,3390.45,3285.60,1386
it:50|a:2.1|b:2|af:0.4|er:0.5,3077.49,3344.02,3267.36,1423
it:50|a:2.1|b:2|af:0.5|er:0.9,3152.20,3341.84,3234.09,1721
it:50|a:2.1|b:2|af:0.5|er:0.7,3142.37,3341.36,3241.67,1637
it:50|a:2.1|b:2|af:0.5|er:0.5,3092.68,3352.15,3225.47,1616
it:50|a:2.1|b:2.1|af:0.4|er:0.9,3151.17,3376.15,3263.19,1509
it:50|a:2.1|b:2.1|af:0.4|er:0.7,3163.13,3395.71,3252.63,1525
it:50|a:2.1|b:2.1|af:0.4|er:0.5,3148.31,3357.49,3265.42,1548
it:50|a:2.1|b:2.1|af:0.5|er:0.9,3136.22,3338.04,3235.11,1845
it:50|a:2.1|b:2.1|af:0.5|er:0.7,3093.47,3329.74,3227.56,1866
it:50|a:2.1|b:2.1|af:0.5|er:0.5,3076.80,3341.71,3214.99,1987
